source	target	is_directed	is_stimulation	is_inhibition	dip_url
5311	23607	0	0	0	NA
1385	23607	1	1	0	NA
867	23607	0	0	0	NA
6667	23607	1	1	0	NA
30011	23607	0	0	0	NA
9639	9371	0	0	0	NA
4734	7805	0	0	0	NA
5530	1759	1	1	0	NA
5530	5576	1	0	0	NA
5530	7408	1	0	0	NA
5530	2316	1	0	1	NA
5530	84152	1	0	1	NA
596	5530	0	0	0	NA
5530	1454	1	0	0	NA
5530	102800317	1	0	0	NA
5530	1785	1	0	0	NA
5530	283455	1	0	0	NA
5530	572	1	1	0	NA
5530	1409	1	0	0	NA
5530	102724652	1	0	0	NA
1827	5530	1	0	1	NA
5530	1827	1	0	0	NA
5530	4137	1	0	1	NA
5530	2932	1	0	0	NA
5530	3315	1	0	0	NA
5530	23770	1	0	0	NA
5530	3725	1	0	0	NA
5530	4773	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=197145
5530	4776	1	1	0	NA
3660	5530	1	0	0	NA
5530	2002	1	0	0	NA
5530	4772	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=190429
6647	5530	0	0	0	NA
493	5530	0	0	0	NA
5530	5502	1	0	1	NA
5530	4744	1	0	0	NA
5687	5530	0	0	0	NA
5530	821	1	0	0	NA
5530	10059	1	1	0	NA
5530	54434	1	1	0	NA
5530	4775	1	1	0	NA
5530	2571	1	0	0	NA
9097	5530	0	0	0	NA
5530	2572	1	0	0	NA
5530	6554	1	0	0	NA
5530	10231	0	0	0	NA
7316	3710	0	0	0	NA
7316	3708	0	0	0	NA
7316	7052	0	0	0	NA
7316	2697	0	0	0	NA
7316	5578	0	0	0	NA
4067	7316	0	0	0	NA
7316	2902	0	0	0	NA
7316	7415	0	0	0	NA
1956	7316	0	0	0	NA
7316	409	0	0	0	NA
7316	11124	0	0	0	NA
7316	10013	0	0	0	NA
7316	5728	0	0	0	NA
7316	2623	0	0	0	NA
7316	7128	1	0	0	NA
7128	7316	1	0	0	NA
7316	1441	0	0	0	NA
7316	57646	0	0	0	NA
7316	55611	0	0	0	NA
7316	1385	0	0	0	NA
7316	1786	0	0	0	NA
7316	7336	0	0	0	NA
7316	598	0	0	0	NA
7316	6513	0	0	0	NA
4609	7316	0	0	0	NA
3480	7316	0	0	0	NA
7316	56897	0	0	0	NA
7316	7189	0	0	0	NA
7316	9960	0	0	0	NA
7316	4086	0	0	0	NA
7316	648	0	0	0	NA
7316	100532731	0	0	0	NA
7316	7486	0	0	0	NA
7316	331	0	0	0	NA
7316	8517	1	0	0	NA
8517	7316	1	0	0	NA
7316	4077	0	0	0	NA
7316	11047	0	0	0	NA
7316	6772	0	0	0	NA
7316	5887	0	0	0	NA
7316	7323	0	0	0	NA
7316	56852	0	0	0	NA
3320	7316	0	0	0	NA
7316	4792	0	0	0	NA
7316	51455	0	0	0	NA
7316	7320	0	0	0	NA
7316	4738	0	0	0	NA
7316	867	0	0	0	NA
7316	4780	0	0	0	NA
7316	23118	0	0	0	NA
7316	5970	0	0	0	NA
23586	7316	0	0	0	NA
7316	5468	0	0	0	NA
7316	55593	0	0	0	NA
7316	8737	0	0	0	NA
142	7316	0	0	0	NA
7316	4137	0	0	0	NA
7316	3091	0	0	0	NA
65018	7316	1	1	0	NA
7316	8878	0	0	0	NA
7316	51720	0	0	0	NA
7316	5710	0	0	0	NA
7316	5071	1	1	0	NA
7316	11201	0	0	0	NA
3725	7316	0	0	0	NA
7316	4088	0	0	0	NA
7316	23435	0	0	0	NA
2495	7316	0	0	0	NA
7316	23385	0	0	0	NA
868	7316	1	0	0	NA
7316	4776	0	0	0	NA
7316	10133	0	0	0	NA
7316	7375	0	0	0	NA
7316	6498	0	0	0	NA
1634	7316	0	0	0	NA
7316	10241	0	0	0	NA
9099	7316	0	0	0	NA
9146	7316	0	0	0	NA
7316	10616	0	0	0	NA
4306	7316	0	0	0	NA
7316	54472	1	0	0	NA
54472	7316	1	0	0	NA
7316	8027	0	0	0	NA
7316	30011	0	0	0	NA
7316	9373	0	0	0	NA
7316	27342	0	0	0	NA
7316	5896	0	0	0	NA
7345	7316	1	1	0	NA
7316	55666	0	0	0	NA
7316	2643	0	0	0	NA
7316	4656	0	0	0	NA
7316	267	0	0	0	NA
7316	7353	0	0	0	NA
7316	10661	0	0	0	NA
7316	29924	0	0	0	NA
7316	100506658	0	0	0	NA
10254	7316	0	0	0	NA
51366	7316	0	0	0	NA
7316	7317	0	0	0	NA
7316	7337	0	0	0	NA
7316	9429	0	0	0	NA
7316	57695	0	0	0	NA
4342	7316	0	0	0	NA
7316	26088	0	0	0	NA
7316	4287	0	0	0	NA
7316	2626	0	0	0	NA
7316	7251	0	0	0	NA
10617	7316	0	0	0	NA
7316	5830	0	0	0	NA
7316	23163	0	0	0	NA
7316	56899	0	0	0	NA
7316	5886	0	0	0	NA
7316	9101	0	0	0	NA
7316	8078	0	0	0	NA
10043	7316	0	0	0	NA
7316	27005	0	0	0	NA
7316	92181	0	0	0	NA
7316	7327	0	0	0	NA
7316	51028	0	0	0	NA
7316	54764	0	0	0	NA
7316	9929	0	0	0	NA
7316	55905	0	0	0	NA
7316	63891	0	0	0	NA
7316	9958	0	0	0	NA
7316	56957	0	0	0	NA
7316	27338	0	0	0	NA
7316	199990	0	0	0	NA
7316	254225	0	0	0	NA
7316	84993	0	0	0	NA
7316	3093	0	0	0	NA
7316	80149	0	0	0	NA
7316	7347	0	0	0	NA
7316	145226	0	0	0	NA
6714	4627	1	0	0	NA
5578	4627	1	0	0	NA
54822	4627	1	0	0	NA
4691	4627	0	0	0	NA
5777	4627	0	0	0	NA
5595	4627	1	0	0	NA
1457	4627	1	1	0	NA
6275	4627	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187608
4627	4607	0	0	0	NA
4627	9332	0	0	0	NA
4627	5016	0	0	0	NA
3673	58	0	0	0	NA
4312	3673	0	0	0	NA
1020	1759	1	1	0	NA
1020	50861	1	0	0	NA
1020	6714	1	1	0	NA
1020	1499	1	0	0	NA
1020	6853	1	1	0	NA
1020	1627	1	0	0	NA
1020	3925	1	0	1	NA
2534	1020	1	1	0	NA
1452	1020	1	0	0	NA
1020	4846	1	0	1	NA
1020	7442	1	1	0	NA
1020	81565	1	1	0	NA
1020	5602	1	1	1	NA
1020	1786	1	1	0	NA
1020	84152	1	1	0	NA
1020	5621	1	0	0	NA
1020	5771	1	0	0	NA
